region,category,parameter,mode,powertrain,year,unit,value
Australia,Historical,EV stock,Cars,BEV,2011,stock,49
Australia,Historical,EV stock,Cars,BEV,2012,stock,220
Australia,Historical,EV stock,Cars,PHEV,2012,stock,80
Australia,Historical,EV stock,Cars,PHEV,2013,stock,180
Australia,Historical,EV stock,Cars,BEV,2013,stock,410
Australia,Historical,EV stock,Cars,BEV,2014,stock,780
Australia,Historical,EV stock,Cars,PHEV,2014,stock,1100
Australia,Historical,EV stock,Cars,PHEV,2015,stock,2100
Australia,Historical,EV stock,Cars,BEV,2015,stock,1500
Australia,Historical,EV stock,Cars,BEV,2016,stock,2200
Australia,Historical,EV stock,Cars,PHEV,2016,stock,2800
Australia,Historical,EV stock,Cars,PHEV,2017,stock,3900
Australia,Historical,EV stock,Cars,BEV,2017,stock,3400
Australia,Historical,EV stock,Cars,PHEV,2018,stock,5700
Australia,Historical,EV stock,Cars,BEV,2018,stock,5200
Australia,Historical,EV stock,Cars,BEV,2019,stock,12000
Australia,Historical,EV stock,Cars,PHEV,2019,stock,8600
Australia,Historical,EV stock,Cars,PHEV,2020,stock,10000
Australia,Historical,EV stock,Cars,BEV,2020,stock,17000
Australia,Historical,EV stock,Cars,BEV,2021,stock,34000
Australia,Historical,EV stock,Cars,PHEV,2021,stock,14000
Belgium,Historical,EV stock,Cars,BEV,2010,stock,61
Belgium,Historical,EV stock,Cars,PHEV,2010,stock,9
Belgium,Historical,EV stock,Cars,PHEV,2011,stock,26
Belgium,Historical,EV stock,Cars,BEV,2011,stock,320
Belgium,Historical,EV stock,Cars,BEV,2012,stock,830
Belgium,Historical,EV stock,Cars,PHEV,2012,stock,350
Belgium,Historical,EV stock,Cars,PHEV,2013,stock,590
Belgium,Historical,EV stock,Cars,BEV,2013,stock,1200
Belgium,Historical,EV stock,Cars,BEV,2014,stock,2200
Belgium,Historical,EV stock,Cars,PHEV,2014,stock,1500
Belgium,Historical,EV stock,Cars,PHEV,2015,stock,3800
Belgium,Historical,EV stock,Cars,BEV,2015,stock,3300
Belgium,Historical,EV stock,Cars,BEV,2016,stock,5200
Belgium,Historical,EV stock,Cars,PHEV,2016,stock,11000
Belgium,Historical,EV stock,Cars,PHEV,2017,stock,23000
Belgium,Historical,EV stock,Cars,BEV,2017,stock,7500
Belgium,Historical,EV stock,Cars,BEV,2018,stock,11000
Belgium,Historical,EV stock,Cars,PHEV,2018,stock,33000
Belgium,Historical,EV stock,Cars,PHEV,2019,stock,41000
Belgium,Historical,EV stock,Cars,BEV,2019,stock,19000
Belgium,Historical,EV stock,Cars,BEV,2020,stock,32000
Belgium,Historical,EV stock,Cars,PHEV,2020,stock,73000
Belgium,Historical,EV stock,Cars,PHEV,2021,stock,120000
Belgium,Historical,EV stock,Cars,BEV,2021,stock,52000
Brazil,Historical,EV stock,Cars,BEV,2014,stock,61
Brazil,Historical,EV stock,Cars,BEV,2015,stock,120
Brazil,Historical,EV stock,Cars,PHEV,2015,stock,28
Brazil,Historical,EV stock,Cars,PHEV,2016,stock,75
Brazil,Historical,EV stock,Cars,BEV,2016,stock,250
Brazil,Historical,EV stock,Cars,BEV,2017,stock,320
Brazil,Historical,EV stock,Cars,PHEV,2017,stock,360
Brazil,Historical,EV stock,Cars,PHEV,2018,stock,700
Brazil,Historical,EV stock,Cars,BEV,2018,stock,350
Brazil,Historical,EV stock,Cars,BEV,2019,stock,890
Brazil,Historical,EV stock,Cars,PHEV,2019,stock,2100
Brazil,Historical,EV stock,Cars,PHEV,2020,stock,3800
Brazil,Historical,EV stock,Cars,BEV,2020,stock,1600
Brazil,Historical,EV stock,Cars,BEV,2021,stock,3600
Brazil,Historical,EV stock,Cars,PHEV,2021,stock,9100
Canada,Historical,EV stock,Cars,BEV,2011,stock,220
Canada,Historical,EV stock,Cars,PHEV,2011,stock,300
Canada,Historical,EV stock,Cars,PHEV,2012,stock,1700
Canada,Historical,EV stock,Cars,BEV,2012,stock,840
Canada,Historical,EV stock,Cars,BEV,2013,stock,2500
Canada,Historical,EV stock,Cars,PHEV,2013,stock,3200
Canada,Historical,EV stock,Cars,PHEV,2014,stock,5400
Canada,Historical,EV stock,Cars,BEV,2014,stock,5300
Canada,Historical,EV stock,Cars,BEV,2015,stock,9700
Canada,Historical,EV stock,Cars,PHEV,2015,stock,8000
Canada,Historical,EV stock,Cars,PHEV,2016,stock,14000
Canada,Historical,EV stock,Cars,BEV,2016,stock,15000
Canada,Historical,EV stock,Cars,BEV,2017,stock,24000
Canada,Historical,EV stock,Cars,PHEV,2017,stock,22000
Canada,Historical,EV stock,Cars,PHEV,2018,stock,44000
Canada,Historical,EV stock,Cars,BEV,2018,stock,46000
Canada,Historical,EV stock,Cars,PHEV,2019,stock,62000
Canada,Historical,EV stock,Cars,BEV,2019,stock,79000
Canada,Historical,EV stock,Cars,BEV,2020,stock,130000
Canada,Historical,EV stock,Cars,PHEV,2020,stock,82000
Canada,Historical,EV stock,Cars,PHEV,2021,stock,110000
Canada,Historical,EV stock,Cars,BEV,2021,stock,190000
Chile,Historical,EV stock,Cars,BEV,2011,stock,6
Chile,Historical,EV stock,Cars,BEV,2012,stock,11
Chile,Historical,EV stock,Cars,BEV,2013,stock,16
Chile,Historical,EV stock,Cars,BEV,2014,stock,19
Chile,Historical,EV stock,Cars,PHEV,2014,stock,14
Chile,Historical,EV stock,Cars,PHEV,2015,stock,37
Chile,Historical,EV stock,Cars,BEV,2015,stock,32
Chile,Historical,EV stock,Cars,BEV,2016,stock,54
Chile,Historical,EV stock,Cars,PHEV,2016,stock,46
Chile,Historical,EV stock,Cars,PHEV,2017,stock,61
Chile,Historical,EV stock,Cars,BEV,2017,stock,170
Chile,Historical,EV stock,Cars,BEV,2018,stock,280
Chile,Historical,EV stock,Cars,PHEV,2018,stock,130
Chile,Historical,EV stock,Cars,PHEV,2019,stock,210
Chile,Historical,EV stock,Cars,BEV,2019,stock,430
Chile,Historical,EV stock,Cars,BEV,2020,stock,540
Chile,Historical,EV stock,Cars,PHEV,2020,stock,290
Chile,Historical,EV stock,Cars,PHEV,2021,stock,590
Chile,Historical,EV stock,Cars,BEV,2021,stock,810
China,Historical,EV stock,Cars,PHEV,2010,stock,340
China,Historical,EV stock,Cars,BEV,2010,stock,1600
China,Historical,EV stock,Cars,BEV,2011,stock,6300
China,Historical,EV stock,Cars,PHEV,2011,stock,660
China,Historical,EV stock,Cars,PHEV,2012,stock,920
China,Historical,EV stock,Cars,BEV,2012,stock,16000
China,Historical,EV stock,Cars,BEV,2013,stock,31000
China,Historical,EV stock,Cars,PHEV,2013,stock,1600
China,Historical,EV stock,Cars,PHEV,2014,stock,26000
China,Historical,EV stock,Cars,BEV,2014,stock,59000
China,Historical,EV stock,Cars,BEV,2015,stock,210000
China,Historical,EV stock,Cars,PHEV,2015,stock,87000
China,Historical,EV stock,Cars,PHEV,2016,stock,170000
China,Historical,EV stock,Cars,BEV,2016,stock,460000
China,Historical,EV stock,Cars,BEV,2017,stock,930000
China,Historical,EV stock,Cars,PHEV,2017,stock,280000
China,Historical,EV stock,Cars,PHEV,2018,stock,540000
China,Historical,EV stock,Cars,BEV,2018,stock,1700000
China,Historical,EV stock,Cars,BEV,2019,stock,2600000
China,Historical,EV stock,Cars,PHEV,2019,stock,770000
China,Historical,EV stock,Cars,PHEV,2020,stock,1000000
China,Historical,EV stock,Cars,BEV,2020,stock,3500000
China,Historical,EV stock,Cars,BEV,2021,stock,6200000
China,Historical,EV stock,Cars,PHEV,2021,stock,1600000
Denmark,Historical,EV stock,Cars,PHEV,2010,stock,20
Denmark,Historical,EV stock,Cars,BEV,2010,stock,59
Denmark,Historical,EV stock,Cars,BEV,2011,stock,480
Denmark,Historical,EV stock,Cars,PHEV,2011,stock,20
Denmark,Historical,EV stock,Cars,PHEV,2012,stock,14
Denmark,Historical,EV stock,Cars,BEV,2012,stock,1200
Denmark,Historical,EV stock,Cars,BEV,2013,stock,1500
Denmark,Historical,EV stock,Cars,PHEV,2013,stock,14
Denmark,Historical,EV stock,Cars,PHEV,2014,stock,100
Denmark,Historical,EV stock,Cars,BEV,2014,stock,2900
Denmark,Historical,EV stock,Cars,BEV,2015,stock,7900
Denmark,Historical,EV stock,Cars,PHEV,2015,stock,570
Denmark,Historical,EV stock,Cars,PHEV,2016,stock,1100
Denmark,Historical,EV stock,Cars,BEV,2016,stock,8700
Denmark,Historical,EV stock,Cars,BEV,2017,stock,8800
Denmark,Historical,EV stock,Cars,PHEV,2017,stock,1800
Denmark,Historical,EV stock,Cars,PHEV,2018,stock,5200
Denmark,Historical,EV stock,Cars,BEV,2018,stock,10000
Denmark,Historical,EV stock,Cars,BEV,2019,stock,16000
Denmark,Historical,EV stock,Cars,PHEV,2019,stock,9900
Denmark,Historical,EV stock,Cars,PHEV,2020,stock,30000
Denmark,Historical,EV stock,Cars,BEV,2020,stock,32000
Denmark,Historical,EV stock,Cars,BEV,2021,stock,67000
Denmark,Historical,EV stock,Cars,PHEV,2021,stock,78000
Finland,Historical,EV stock,Cars,BEV,2011,stock,56
Finland,Historical,EV stock,Cars,BEV,2012,stock,110
Finland,Historical,EV stock,Cars,PHEV,2012,stock,130
Finland,Historical,EV stock,Cars,PHEV,2013,stock,300
Finland,Historical,EV stock,Cars,BEV,2013,stock,170
Finland,Historical,EV stock,Cars,BEV,2014,stock,360
Finland,Historical,EV stock,Cars,PHEV,2014,stock,570
Finland,Historical,EV stock,Cars,PHEV,2015,stock,970
Finland,Historical,EV stock,Cars,BEV,2015,stock,610
Finland,Historical,EV stock,Cars,BEV,2016,stock,840
Finland,Historical,EV stock,Cars,PHEV,2016,stock,2400
Finland,Historical,EV stock,Cars,PHEV,2017,stock,5700
Finland,Historical,EV stock,Cars,BEV,2017,stock,1400
Finland,Historical,EV stock,Cars,BEV,2018,stock,2400
Finland,Historical,EV stock,Cars,PHEV,2018,stock,13000
Finland,Historical,EV stock,Cars,PHEV,2019,stock,25000
Finland,Historical,EV stock,Cars,BEV,2019,stock,4700
Finland,Historical,EV stock,Cars,BEV,2020,stock,9700
Finland,Historical,EV stock,Cars,PHEV,2020,stock,46000
Finland,Historical,EV stock,Cars,PHEV,2021,stock,77000
Finland,Historical,EV stock,Cars,BEV,2021,stock,23000
France,Historical,EV stock,Cars,BEV,2010,stock,300
France,Historical,EV stock,Cars,BEV,2011,stock,2900
France,Historical,EV stock,Cars,PHEV,2011,stock,96
France,Historical,EV stock,Cars,PHEV,2012,stock,700
France,Historical,EV stock,Cars,BEV,2012,stock,8600
France,Historical,EV stock,Cars,BEV,2013,stock,17000
France,Historical,EV stock,Cars,PHEV,2013,stock,1500
France,Historical,EV stock,Cars,PHEV,2014,stock,3600
France,Historical,EV stock,Cars,BEV,2014,stock,28000
France,Historical,EV stock,Cars,BEV,2015,stock,45000
France,Historical,EV stock,Cars,PHEV,2015,stock,9300
France,Historical,EV stock,Cars,PHEV,2016,stock,17000
France,Historical,EV stock,Cars,BEV,2016,stock,67000
France,Historical,EV stock,Cars,BEV,2017,stock,93000
France,Historical,EV stock,Cars,PHEV,2017,stock,26000
France,Historical,EV stock,Cars,PHEV,2018,stock,41000
France,Historical,EV stock,Cars,BEV,2018,stock,120000
France,Historical,EV stock,Cars,BEV,2019,stock,170000
France,Historical,EV stock,Cars,PHEV,2019,stock,60000
France,Historical,EV stock,Cars,PHEV,2020,stock,130000
France,Historical,EV stock,Cars,BEV,2020,stock,280000
France,Historical,EV stock,Cars,BEV,2021,stock,450000
France,Historical,EV stock,Cars,PHEV,2021,stock,270000
Germany,Historical,EV stock,Cars,BEV,2010,stock,250
Germany,Historical,EV stock,Cars,BEV,2011,stock,1600
Germany,Historical,EV stock,Cars,PHEV,2011,stock,240
Germany,Historical,EV stock,Cars,PHEV,2012,stock,1400
Germany,Historical,EV stock,Cars,BEV,2012,stock,3900
Germany,Historical,EV stock,Cars,BEV,2013,stock,9200
Germany,Historical,EV stock,Cars,PHEV,2013,stock,3000
Germany,Historical,EV stock,Cars,PHEV,2014,stock,7400
Germany,Historical,EV stock,Cars,BEV,2014,stock,18000
Germany,Historical,EV stock,Cars,BEV,2015,stock,30000
Germany,Historical,EV stock,Cars,PHEV,2015,stock,19000
Germany,Historical,EV stock,Cars,PHEV,2016,stock,32000
Germany,Historical,EV stock,Cars,BEV,2016,stock,41000
Germany,Historical,EV stock,Cars,BEV,2017,stock,59000
Germany,Historical,EV stock,Cars,PHEV,2017,stock,50000
Germany,Historical,EV stock,Cars,PHEV,2018,stock,82000
Germany,Historical,EV stock,Cars,BEV,2018,stock,95000
Germany,Historical,EV stock,Cars,BEV,2019,stock,140000
Germany,Historical,EV stock,Cars,PHEV,2019,stock,100000
Germany,Historical,EV stock,Cars,PHEV,2020,stock,300000
Germany,Historical,EV stock,Cars,BEV,2020,stock,330000
Germany,Historical,EV stock,Cars,BEV,2021,stock,690000
Germany,Historical,EV stock,Cars,PHEV,2021,stock,630000
Greece,Historical,EV stock,Cars,BEV,2013,stock,3
Greece,Historical,EV stock,Cars,BEV,2014,stock,42
Greece,Historical,EV stock,Cars,BEV,2015,stock,97
Greece,Historical,EV stock,Cars,PHEV,2015,stock,22
Greece,Historical,EV stock,Cars,PHEV,2016,stock,78
Greece,Historical,EV stock,Cars,BEV,2016,stock,140
Greece,Historical,EV stock,Cars,BEV,2017,stock,190
Greece,Historical,EV stock,Cars,PHEV,2017,stock,220
Greece,Historical,EV stock,Cars,PHEV,2018,stock,440
Greece,Historical,EV stock,Cars,BEV,2018,stock,280
Greece,Historical,EV stock,Cars,PHEV,2019,stock,730
Greece,Historical,EV stock,Cars,BEV,2019,stock,470
Greece,Historical,EV stock,Cars,BEV,2020,stock,1100
Greece,Historical,EV stock,Cars,PHEV,2020,stock,2200
Greece,Historical,EV stock,Cars,PHEV,2021,stock,7000
Greece,Historical,EV stock,Cars,BEV,2021,stock,3300
Iceland,Historical,EV stock,Cars,BEV,2010,stock,14
Iceland,Historical,EV stock,Cars,BEV,2011,stock,14
Iceland,Historical,EV stock,Cars,BEV,2012,stock,31
Iceland,Historical,EV stock,Cars,PHEV,2012,stock,9
Iceland,Historical,EV stock,Cars,PHEV,2013,stock,32
Iceland,Historical,EV stock,Cars,BEV,2013,stock,110
Iceland,Historical,EV stock,Cars,BEV,2014,stock,300
Iceland,Historical,EV stock,Cars,PHEV,2014,stock,61
Iceland,Historical,EV stock,Cars,PHEV,2015,stock,230
Iceland,Historical,EV stock,Cars,BEV,2015,stock,690
Iceland,Historical,EV stock,Cars,BEV,2016,stock,1100
Iceland,Historical,EV stock,Cars,PHEV,2016,stock,1000
Iceland,Historical,EV stock,Cars,PHEV,2017,stock,3200
Iceland,Historical,EV stock,Cars,BEV,2017,stock,1900
Iceland,Historical,EV stock,Cars,BEV,2018,stock,2700
Iceland,Historical,EV stock,Cars,PHEV,2018,stock,6100
Iceland,Historical,EV stock,Cars,PHEV,2019,stock,8000
Iceland,Historical,EV stock,Cars,BEV,2019,stock,3700
Iceland,Historical,EV stock,Cars,BEV,2020,stock,6300
Iceland,Historical,EV stock,Cars,PHEV,2020,stock,10000
Iceland,Historical,EV stock,Cars,PHEV,2021,stock,15000
Iceland,Historical,EV stock,Cars,BEV,2021,stock,11000
India,Historical,EV stock,Cars,BEV,2010,stock,880
India,Historical,EV stock,Cars,BEV,2011,stock,1300
India,Historical,EV stock,Cars,BEV,2012,stock,2800
India,Historical,EV stock,Cars,BEV,2013,stock,2900
India,Historical,EV stock,Cars,BEV,2014,stock,3400
India,Historical,EV stock,Cars,BEV,2015,stock,4400
India,Historical,EV stock,Cars,BEV,2016,stock,4800
India,Historical,EV stock,Cars,BEV,2017,stock,7000
India,Historical,EV stock,Cars,BEV,2018,stock,7900
India,Historical,EV stock,Cars,BEV,2019,stock,8600
India,Historical,EV stock,Cars,PHEV,2019,stock,7
India,Historical,EV stock,Cars,PHEV,2020,stock,50
India,Historical,EV stock,Cars,BEV,2020,stock,12000
India,Historical,EV stock,Cars,BEV,2021,stock,23000
India,Historical,EV stock,Cars,PHEV,2021,stock,91
Italy,Historical,EV stock,Cars,BEV,2010,stock,650
Italy,Historical,EV stock,Cars,BEV,2011,stock,760
Italy,Historical,EV stock,Cars,BEV,2012,stock,1200
Italy,Historical,EV stock,Cars,BEV,2013,stock,2000
Italy,Historical,EV stock,Cars,PHEV,2013,stock,180
Italy,Historical,EV stock,Cars,PHEV,2014,stock,520
Italy,Historical,EV stock,Cars,BEV,2014,stock,3100
Italy,Historical,EV stock,Cars,BEV,2015,stock,4400
Italy,Historical,EV stock,Cars,PHEV,2015,stock,1300
Italy,Historical,EV stock,Cars,BEV,2016,stock,5800
Italy,Historical,EV stock,Cars,PHEV,2016,stock,2700
Italy,Historical,EV stock,Cars,PHEV,2017,stock,5600
Italy,Historical,EV stock,Cars,BEV,2017,stock,7800
Italy,Historical,EV stock,Cars,BEV,2018,stock,13000
Italy,Historical,EV stock,Cars,PHEV,2018,stock,10000
Italy,Historical,EV stock,Cars,PHEV,2019,stock,17000
Italy,Historical,EV stock,Cars,BEV,2019,stock,23000
Italy,Historical,EV stock,Cars,BEV,2020,stock,55000
Italy,Historical,EV stock,Cars,PHEV,2020,stock,44000
Italy,Historical,EV stock,Cars,PHEV,2021,stock,110000
Italy,Historical,EV stock,Cars,BEV,2021,stock,120000
Japan,Historical,EV stock,Cars,BEV,2010,stock,3500
Japan,Historical,EV stock,Cars,BEV,2011,stock,16000
Japan,Historical,EV stock,Cars,PHEV,2011,stock,15
Japan,Historical,EV stock,Cars,PHEV,2012,stock,11000
Japan,Historical,EV stock,Cars,BEV,2012,stock,30000
Japan,Historical,EV stock,Cars,BEV,2013,stock,44000
Japan,Historical,EV stock,Cars,PHEV,2013,stock,25000
Japan,Historical,EV stock,Cars,PHEV,2014,stock,41000
Japan,Historical,EV stock,Cars,BEV,2014,stock,70000
Japan,Historical,EV stock,Cars,BEV,2015,stock,79000
Japan,Historical,EV stock,Cars,PHEV,2015,stock,55000
Japan,Historical,EV stock,Cars,PHEV,2016,stock,65000
Japan,Historical,EV stock,Cars,BEV,2016,stock,88000
Japan,Historical,EV stock,Cars,BEV,2017,stock,100000
Japan,Historical,EV stock,Cars,PHEV,2017,stock,100000
Japan,Historical,EV stock,Cars,PHEV,2018,stock,120000
Japan,Historical,EV stock,Cars,BEV,2018,stock,110000
Japan,Historical,EV stock,Cars,BEV,2019,stock,120000
Japan,Historical,EV stock,Cars,PHEV,2019,stock,140000
Japan,Historical,EV stock,Cars,PHEV,2020,stock,160000
Japan,Historical,EV stock,Cars,BEV,2020,stock,140000
Japan,Historical,EV stock,Cars,BEV,2021,stock,160000
Japan,Historical,EV stock,Cars,PHEV,2021,stock,180000
Korea,Historical,EV stock,Cars,BEV,2010,stock,61
Korea,Historical,EV stock,Cars,BEV,2011,stock,340
Korea,Historical,EV stock,Cars,BEV,2012,stock,850
Korea,Historical,EV stock,Cars,BEV,2013,stock,1400
Korea,Historical,EV stock,Cars,BEV,2014,stock,2700
Korea,Historical,EV stock,Cars,BEV,2015,stock,5800
Korea,Historical,EV stock,Cars,PHEV,2015,stock,250
Korea,Historical,EV stock,Cars,PHEV,2016,stock,580
